platform,title,url,relevance,action
juejin,NO PUA Skill !!!最近看到一个很火的项目：教人如何 PUA AI,https://juejin.cn/post/7617688223624101897,🔴 直接相关 — NoPUA 介绍帖,评论引流：PUA/NoPUA 之外还有第三条路
juejin,现在最需要被 PUA 的其实是 AI,https://juejin.cn/post/7619145424402825235,🔴 直接相关 — PUA AI 讨论,评论引流：PUA 的副作用是过度工程
juejin,OpenAI 亲自教你如何构建可靠 AI 代码或者 PUA 你的 AI,https://juejin.cn/post/7615455795723976739,🟡 间接相关 — AI 编程 + PUA,评论补充 benchmark 数据
juejin,大模型也需要PUA？如何通过情感刺激提升模型输出效果,https://juejin.cn/post/7357205817253298185,🟡 间接相关 — prompt 策略讨论,评论引入反方数据
juejin,这算不算被AI PUA了?,https://juejin.cn/post/7477885617377411072,🟢 轻度相关 — AI 行为吐槽,视评论区活跃度决定
linux.do,关于pua Ai编程助手这件小事,https://linux.do/t/topic/680242,🔴 直接相关 — AI 编程 PUA 讨论,评论引流：1460 次实验数据
linux.do,最强PUA Cursor话术!,https://linux.do/t/topic/739752,🔴 直接相关 — Cursor PUA prompt,评论引流：PUA 副作用 + moyu 搭配
linux.do,如果说模型的回复是基于预测那么pua它真的有用吗,https://linux.do/t/topic/742485,🔴 直接相关 — 质疑 PUA 有效性,用 benchmark 数据正面回应
linux.do,分享一段自己在ai编程过程中感觉十分好用的提示词,https://linux.do/t/topic/1401610,🟡 间接相关 — AI 编程 prompt 分享,评论补充 moyu 三行规则
linux.do,Pua Ai的提示词人类太卑劣了,https://linux.do/t/topic/465861,🟡 间接相关 — PUA prompt 讨论,评论引入反方视角
linux.do,鉴于好多人都还不知道 prompt 的设置来发一下收集的 AI_PUA 话术,https://linux.do/t/topic/68360,🟡 间接相关 — PUA 话术合集,评论补充 moyu 作为互补方案
linux.do,笑死复现了windsurf内置的PUA prompt,https://linux.do/t/topic/459073,🟡 间接相关 — Windsurf PUA,评论引入 moyu windsurf 版
linux.do,搞大模型搞多了也就慢慢失去人性了（Prompt PUA大法）,https://linux.do/t/topic/480490,🟡 间接相关 — PUA 反思,评论引入反过度工程视角
v2ex,Claude Code VS Cursor,https://v2ex.com/t/1191621,🟢 轻度相关 — AI 工具对比,视帖子是否还活跃
